"state","electric_vehicle_type","total_vehicles","promedio_electric_range","model_year"
NJ,Plug-in Hybrid Electric Vehicle (PHEV),1,35.0,2024
NV,Battery Electric Vehicle (BEV),2,0.0,2024
NY,Battery Electric Vehicle (BEV),1,0.0,2024
OH,Battery Electric Vehicle (BEV),1,0.0,2024
OH,Plug-in Hybrid Electric Vehicle (PHEV),1,39.0,2024
OK,Plug-in Hybrid Electric Vehicle (PHEV),1,34.0,2024
OR,Battery Electric Vehicle (BEV),6,0.0,2024
PA,Battery Electric Vehicle (BEV),2,0.0,2024
RI,Battery Electric Vehicle (BEV),2,0.0,2024
SC,Plug-in Hybrid Electric Vehicle (PHEV),1,21.0,2024
TN,Battery Electric Vehicle (BEV),1,0.0,2024
TX,Battery Electric Vehicle (BEV),3,0.0,2024
TX,Plug-in Hybrid Electric Vehicle (PHEV),5,31.4,2024
VA,Battery Electric Vehicle (BEV),11,0.0,2024
VA,Plug-in Hybrid Electric Vehicle (PHEV),6,23.0,2024
WA,Battery Electric Vehicle (BEV),38676,0.7998758920260627,2024
WA,Plug-in Hybrid Electric Vehicle (PHEV),10545,31.91180654338549,2024
WI,Plug-in Hybrid Electric Vehicle (PHEV),2,23.0,2024
CA,Battery Electric Vehicle (BEV),5,0.0,2025
CA,Plug-in Hybrid Electric Vehicle (PHEV),1,37.0,2025
DC,Battery Electric Vehicle (BEV),1,0.0,2025
DE,Plug-in Hybrid Electric Vehicle (PHEV),1,42.0,2025
FL,Battery Electric Vehicle (BEV),2,0.0,2025
GA,Battery Electric Vehicle (BEV),2,0.0,2025
IL,Battery Electric Vehicle (BEV),2,0.0,2025
KS,Battery Electric Vehicle (BEV),2,0.0,2025
KS,Plug-in Hybrid Electric Vehicle (PHEV),1,32.0,2025
KY,Battery Electric Vehicle (BEV),2,0.0,2025
MA,Battery Electric Vehicle (BEV),1,0.0,2025
MD,Battery Electric Vehicle (BEV),2,0.0,2025
MI,Battery Electric Vehicle (BEV),4,0.0,2025
MO,Battery Electric Vehicle (BEV),1,0.0,2025
NV,Battery Electric Vehicle (BEV),1,0.0,2025
OR,Battery Electric Vehicle (BEV),2,0.0,2025
TX,Battery Electric Vehicle (BEV),2,0.0,2025
VA,Battery Electric Vehicle (BEV),1,0.0,2025
WA,Battery Electric Vehicle (BEV),28171,0.0,2025
WA,Plug-in Hybrid Electric Vehicle (PHEV),7796,35.080810672139556,2025
MI,Battery Electric Vehicle (BEV),2,0.0,2026
NH,Battery Electric Vehicle (BEV),1,0.0,2026
NY,Battery Electric Vehicle (BEV),1,0.0,2026
VA,Battery Electric Vehicle (BEV),1,0.0,2026
WA,Battery Electric Vehicle (BEV),12067,0.0,2026
WA,Plug-in Hybrid Electric Vehicle (PHEV),779,38.60590500641849,2026
